Time,G,X,I,u,D
2026-08-12 00:03:00,142.32938562642252,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:06:00,141.70193766559126,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:09:00,141.1653811706319,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:12:00,140.8302354435809,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:15:00,140.80701978284827,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:18:00,141.20625348191942,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:21:00,142.13845582864354,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:24:00,143.71414610505315,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:27:00,146.01076590600803,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:30:00,148.90729073179662,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:33:00,151.9849969440596,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:36:00,154.75900553758396,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:39:00,156.74443750422296,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:42:00,157.50490168695578,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:45:00,156.89493404717527,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:48:00,155.2054612252805,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:51:00,152.8243855680241,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:54:00,150.1396094223827,0.0,0.0,0.02112267499992533,0.0
2026-08-12 00:57:00,147.52698820422347,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:00:00,145.29009573981506,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:03:00,143.62408347082726,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:06:00,142.70000897701178,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:09:00,142.68892983996838,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:12:00,143.73078329347567,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:15:00,145.778784474403,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:18:00,148.50606537327903,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:21:00,151.52351728328324,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:24:00,154.4420314999852,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:27:00,156.8923913127706,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:30:00,158.6247319618489,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:33:00,159.56821661244376,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:36:00,159.6917924149659,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:39:00,158.9644065221755,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:42:00,157.37931444511997,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:45:00,155.07562183300547,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:48:00,152.41120954108987,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:51:00,149.7925751387141,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:54:00,147.62621619725678,0.0,0.0,0.02112267499992533,0.0
2026-08-12 01:57:00,146.2794991415734,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:00:00,145.88500350750223,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:03:00,146.22312849633374,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:06:00,146.9960110141064,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:09:00,147.90578796848817,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:12:00,148.6545962686927,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:15:00,148.94457282539562,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:18:00,148.477854550652,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:21:00,146.9565783578151,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:24:00,144.08288116145619,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:27:00,140.51120563746005,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:30:00,138.0392450051785,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:33:00,136.76426307708374,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:36:00,136.42810876260043,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:39:00,136.7726309720019,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:42:00,137.53967861634297,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:45:00,138.47110060739544,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:48:00,139.30874585758613,0.0,0.0,0.02112267499992533,0.0
2026-08-12 02:51:00,139.79446327993756,0.0,0.0,0.02112267499992533,0.0
