model,MAE_G,MSE_G,RMSE_G,R2_G,MAE_X,MSE_X,RMSE_X,R2_X,MAE_I,MSE_I,RMSE_I,R2_I
Neural Network,1.8310827546253432,5.383100128690414,2.3201508848974486,0.9897907343329884,335.6685387891404,380073.0517845694,616.5006502710029,0.9966824337194886,88.41818454621118,36841.81370949634,191.9422145060756,0.9868037900309842
ANFIS,2.014575792357823,10.696372672857082,3.2705309466288623,0.9797138994854386,363.3793343055854,592693.7144542305,769.8660366935475,0.994826519079656,121.18387650507026,55638.314298117104,235.8777528681268,0.9800711527507996
